Color [A=255, R=0, G=0, B=4]
Color [A=255, R=0, G=10, B=57]
Color [A=255, R=0, G=10, B=58]
Color [A=255, R=0, G=10, B=60]
Color [A=255, R=0, G=10, B=66]
Color [A=255, R=0, G=11, B=40]
Color [A=255, R=0, G=11, B=41]
Color [A=255, R=0, G=11, B=43]
Color [A=255, R=0, G=11, B=44]
Color [A=255, R=0, G=11, B=46]
Color [A=255, R=0, G=11, B=54]
Color [A=255, R=0, G=11, B=56]
Color [A=255, R=0, G=11, B=59]
Color [A=255, R=0, G=11, B=61]
Color [A=255, R=0, G=11, B=67]
Color [A=255, R=0, G=12, B=20]
Color [A=255, R=0, G=12, B=40]
Color [A=255, R=0, G=12, B=44]
Color [A=255, R=0, G=12, B=47]
Color [A=255, R=0, G=12, B=51]
Color [A=255, R=0, G=12, B=57]
Color [A=255, R=0, G=12, B=58]
Color [A=255, R=0, G=12, B=59]
Color [A=255, R=0, G=12, B=67]
Color [A=255, R=0, G=12, B=71]
Color [A=255, R=0, G=13, B=26]
Color [A=255, R=0, G=13, B=42]
Color [A=255, R=0, G=13, B=56]
Color [A=255, R=0, G=13, B=59]
Color [A=255, R=0, G=13, B=65]
Color [A=255, R=0, G=14, B=37]
Color [A=255, R=0, G=14, B=42]
Color [A=255, R=0, G=14, B=43]
Color [A=255, R=0, G=14, B=45]
Color [A=255, R=0, G=14, B=47]
Color [A=255, R=0, G=14, B=51]
Color [A=255, R=0, G=14, B=59]
Color [A=255, R=0, G=14, B=61]
Color [A=255, R=0, G=14, B=71]
Color [A=255, R=0, G=15, B=35]
Color [A=255, R=0, G=15, B=43]
Color [A=255, R=0, G=15, B=47]
Color [A=255, R=0, G=15, B=49]
Color [A=255, R=0, G=15, B=52]
Color [A=255, R=0, G=15, B=58]
Color [A=255, R=0, G=15, B=59]
Color [A=255, R=0, G=15, B=61]
Color [A=255, R=0, G=15, B=63]
Color [A=255, R=0, G=15, B=64]
Color [A=255, R=0, G=15, B=72]
Color [A=255, R=0, G=15, B=82]
Color [A=255, R=0, G=16, B=22]
Color [A=255, R=0, G=16, B=31]
Color [A=255, R=0, G=16, B=42]
Color [A=255, R=0, G=16, B=44]
Color [A=255, R=0, G=16, B=49]
Color [A=255, R=0, G=16, B=54]
Color [A=255, R=0, G=16, B=69]
Color [A=255, R=0, G=17, B=42]
Color [A=255, R=0, G=17, B=64]
Color [A=255, R=0, G=17, B=75]
Color [A=255, R=0, G=17, B=84]
Color [A=255, R=0, G=17, B=97]
Color [A=255, R=0, G=18, B=35]
Color [A=255, R=0, G=18, B=42]
Color [A=255, R=0, G=18, B=45]
Color [A=255, R=0, G=18, B=48]
Color [A=255, R=0, G=18, B=68]
Color [A=255, R=0, G=18, B=80]
Color [A=255, R=0, G=18, B=84]
Color [A=255, R=0, G=19, B=34]
Color [A=255, R=0, G=19, B=42]
Color [A=255, R=0, G=19, B=46]
Color [A=255, R=0, G=19, B=50]
Color [A=255, R=0, G=19, B=52]
Color [A=255, R=0, G=19, B=87]
Color [A=255, R=0, G=20, B=41]
Color [A=255, R=0, G=20, B=52]
Color [A=255, R=0, G=20, B=55]
Color [A=255, R=0, G=20, B=56]
Color [A=255, R=0, G=20, B=58]
Color [A=255, R=0, G=20, B=85]
Color [A=255, R=0, G=20, B=87]
Color [A=255, R=0, G=20, B=88]
Color [A=255, R=0, G=20, B=101]
Color [A=255, R=0, G=21, B=52]
Color [A=255, R=0, G=21, B=60]
Color [A=255, R=0, G=21, B=61]
Color [A=255, R=0, G=21, B=64]
Color [A=255, R=0, G=21, B=77]
Color [A=255, R=0, G=21, B=83]
Color [A=255, R=0, G=21, B=86]
Color [A=255, R=0, G=21, B=88]
Color [A=255, R=0, G=21, B=89]
Color [A=255, R=0, G=22, B=52]
Color [A=255, R=0, G=22, B=59]
Color [A=255, R=0, G=22, B=61]
Color [A=255, R=0, G=22, B=64]
Color [A=255, R=0, G=22, B=66]
Color [A=255, R=0, G=22, B=68]
Color [A=255, R=0, G=22, B=74]
Color [A=255, R=0, G=22, B=79]
Color [A=255, R=0, G=22, B=90]
Color [A=255, R=0, G=23, B=53]
Color [A=255, R=0, G=23, B=54]
Color [A=255, R=0, G=23, B=64]
Color [A=255, R=0, G=23, B=78]
Color [A=255, R=0, G=23, B=83]
Color [A=255, R=0, G=23, B=86]
Color [A=255, R=0, G=23, B=87]
Color [A=255, R=0, G=23, B=90]
Color [A=255, R=0, G=23, B=91]
Color [A=255, R=0, G=23, B=107]
Color [A=255, R=0, G=24, B=51]
Color [A=255, R=0, G=24, B=52]
Color [A=255, R=0, G=24, B=56]
Color [A=255, R=0, G=24, B=58]
Color [A=255, R=0, G=24, B=61]
Color [A=255, R=0, G=24, B=64]
Color [A=255, R=0, G=24, B=68]
Color [A=255, R=0, G=24, B=83]
Color [A=255, R=0, G=24, B=86]
Color [A=255, R=0, G=24, B=96]
Color [A=255, R=0, G=25, B=47]
Color [A=255, R=0, G=25, B=57]
Color [A=255, R=0, G=25, B=58]
Color [A=255, R=0, G=25, B=59]
Color [A=255, R=0, G=25, B=63]
Color [A=255, R=0, G=25, B=80]
Color [A=255, R=0, G=25, B=91]
Color [A=255, R=0, G=25, B=92]
Color [A=255, R=0, G=25, B=98]
Color [A=255, R=0, G=25, B=113]
Color [A=255, R=0, G=26, B=53]
Color [A=255, R=0, G=26, B=55]
Color [A=255, R=0, G=26, B=56]
Color [A=255, R=0, G=26, B=63]
Color [A=255, R=0, G=26, B=68]
Color [A=255, R=0, G=26, B=69]
Color [A=255, R=0, G=26, B=72]
Color [A=255, R=0, G=26, B=77]
Color [A=255, R=0, G=26, B=85]
Color [A=255, R=0, G=26, B=90]
Color [A=255, R=0, G=26, B=98]
Color [A=255, R=0, G=26, B=106]
Color [A=255, R=0, G=26, B=107]
Color [A=255, R=0, G=26, B=108]
Color [A=255, R=0, G=26, B=110]
Color [A=255, R=0, G=26, B=111]
Color [A=255, R=0, G=27, B=55]
Color [A=255, R=0, G=27, B=56]
Color [A=255, R=0, G=27, B=57]
Color [A=255, R=0, G=27, B=58]
Color [A=255, R=0, G=27, B=64]
Color [A=255, R=0, G=27, B=67]
Color [A=255, R=0, G=27, B=69]
Color [A=255, R=0, G=27, B=73]
Color [A=255, R=0, G=27, B=101]
Color [A=255, R=0, G=27, B=104]
Color [A=255, R=0, G=28, B=53]
Color [A=255, R=0, G=28, B=59]
Color [A=255, R=0, G=28, B=68]
Color [A=255, R=0, G=28, B=74]
Color [A=255, R=0, G=28, B=75]
Color [A=255, R=0, G=28, B=86]
Color [A=255, R=0, G=28, B=100]
Color [A=255, R=0, G=28, B=112]
Color [A=255, R=0, G=29, B=57]
Color [A=255, R=0, G=29, B=61]
Color [A=255, R=0, G=29, B=63]
Color [A=255, R=0, G=29, B=73]
Color [A=255, R=0, G=29, B=76]
Color [A=255, R=0, G=29, B=94]
Color [A=255, R=0, G=29, B=95]
Color [A=255, R=0, G=29, B=98]
Color [A=255, R=0, G=29, B=99]
Color [A=255, R=0, G=29, B=102]
Color [A=255, R=0, G=30, B=52]
Color [A=255, R=0, G=30, B=59]
Color [A=255, R=0, G=30, B=64]
Color [A=255, R=0, G=30, B=66]
Color [A=255, R=0, G=30, B=68]
Color [A=255, R=0, G=30, B=75]
Color [A=255, R=0, G=30, B=84]
Color [A=255, R=0, G=30, B=94]
Color [A=255, R=0, G=30, B=98]
Color [A=255, R=0, G=30, B=103]
Color [A=255, R=0, G=30, B=112]
Color [A=255, R=0, G=31, B=60]
Color [A=255, R=0, G=31, B=61]
Color [A=255, R=0, G=31, B=66]
Color [A=255, R=0, G=31, B=73]
Color [A=255, R=0, G=31, B=75]
Color [A=255, R=0, G=31, B=76]
Color [A=255, R=0, G=31, B=96]
Color [A=255, R=0, G=31, B=99]
Color [A=255, R=0, G=31, B=102]
Color [A=255, R=0, G=31, B=108]
Color [A=255, R=0, G=31, B=114]
Color [A=255, R=0, G=31, B=117]
Color [A=255, R=0, G=31, B=119]
Color [A=255, R=0, G=32, B=63]
Color [A=255, R=0, G=32, B=67]
Color [A=255, R=0, G=32, B=71]
Color [A=255, R=0, G=32, B=94]
Color [A=255, R=0, G=32, B=100]
Color [A=255, R=0, G=32, B=103]
Color [A=255, R=0, G=32, B=110]
Color [A=255, R=0, G=32, B=113]
Color [A=255, R=0, G=33, B=52]
Color [A=255, R=0, G=33, B=57]
Color [A=255, R=0, G=33, B=68]
Color [A=255, R=0, G=33, B=70]
Color [A=255, R=0, G=34, B=64]
Color [A=255, R=0, G=34, B=98]
Color [A=255, R=0, G=34, B=101]
Color [A=255, R=0, G=34, B=107]
Color [A=255, R=0, G=34, B=108]
Color [A=255, R=0, G=35, B=97]
Color [A=255, R=0, G=35, B=116]
Color [A=255, R=0, G=36, B=68]
Color [A=255, R=0, G=36, B=78]
Color [A=255, R=0, G=36, B=80]
Color [A=255, R=0, G=36, B=89]
Color [A=255, R=0, G=36, B=116]
Color [A=255, R=0, G=36, B=122]
Color [A=255, R=0, G=37, B=67]
Color [A=255, R=0, G=37, B=108]
Color [A=255, R=0, G=37, B=122]
Color [A=255, R=0, G=37, B=125]
Color [A=255, R=0, G=39, B=109]
Color [A=255, R=0, G=40, B=74]
Color [A=255, R=0, G=41, B=123]
Color [A=255, R=1, G=0, B=2]
Color [A=255, R=1, G=0, B=4]
Color [A=255, R=1, G=0, B=5]
Color [A=255, R=1, G=0, B=6]
Color [A=255, R=1, G=0, B=7]
Color [A=255, R=1, G=0, B=8]
Color [A=255, R=1, G=0, B=9]
Color [A=255, R=1, G=0, B=10]
Color [A=255, R=1, G=0, B=12]
Color [A=255, R=1, G=0, B=14]
Color [A=255, R=1, G=0, B=16]
Color [A=255, R=1, G=0, B=18]
Color [A=255, R=1, G=0, B=34]
Color [A=255, R=1, G=0, B=38]
Color [A=255, R=1, G=1, B=3]
Color [A=255, R=1, G=1, B=9]
Color [A=255, R=1, G=1, B=11]
Color [A=255, R=1, G=1, B=13]
Color [A=255, R=1, G=2, B=6]
Color [A=255, R=1, G=2, B=7]
Color [A=255, R=1, G=2, B=20]
Color [A=255, R=1, G=2, B=23]
Color [A=255, R=1, G=3, B=15]
Color [A=255, R=1, G=3, B=16]
Color [A=255, R=1, G=3, B=18]
Color [A=255, R=1, G=3, B=24]
Color [A=255, R=1, G=4, B=9]
Color [A=255, R=1, G=4, B=11]
Color [A=255, R=1, G=4, B=13]
Color [A=255, R=1, G=4, B=19]
Color [A=255, R=1, G=4, B=21]
Color [A=255, R=1, G=4, B=23]
Color [A=255, R=1, G=5, B=4]
Color [A=255, R=1, G=5, B=6]
Color [A=255, R=1, G=5, B=14]
Color [A=255, R=1, G=5, B=16]
Color [A=255, R=1, G=5, B=17]
Color [A=255, R=1, G=5, B=30]
Color [A=255, R=1, G=6, B=25]
Color [A=255, R=1, G=6, B=35]
Color [A=255, R=1, G=7, B=19]
Color [A=255, R=1, G=7, B=21]
Color [A=255, R=1, G=7, B=23]
Color [A=255, R=1, G=8, B=14]
Color [A=255, R=1, G=8, B=26]
Color [A=255, R=1, G=8, B=27]
Color [A=255, R=1, G=10, B=41]
Color [A=255, R=1, G=11, B=20]
Color [A=255, R=1, G=11, B=60]
Color [A=255, R=1, G=12, B=40]
Color [A=255, R=1, G=12, B=42]
Color [A=255, R=1, G=12, B=58]
Color [A=255, R=1, G=13, B=39]
Color [A=255, R=1, G=13, B=55]
Color [A=255, R=1, G=14, B=49]
Color [A=255, R=1, G=14, B=59]
Color [A=255, R=1, G=15, B=41]
Color [A=255, R=1, G=15, B=42]
Color [A=255, R=1, G=15, B=44]
Color [A=255, R=1, G=15, B=54]
Color [A=255, R=1, G=15, B=64]
Color [A=255, R=1, G=16, B=45]
Color [A=255, R=1, G=17, B=30]
Color [A=255, R=1, G=17, B=42]
Color [A=255, R=1, G=17, B=51]
Color [A=255, R=1, G=17, B=66]
Color [A=255, R=1, G=19, B=69]
Color [A=255, R=1, G=20, B=52]
Color [A=255, R=1, G=20, B=53]
Color [A=255, R=1, G=20, B=76]
Color [A=255, R=1, G=20, B=78]
Color [A=255, R=1, G=21, B=56]
Color [A=255, R=1, G=22, B=49]
Color [A=255, R=1, G=22, B=53]
Color [A=255, R=1, G=23, B=60]
Color [A=255, R=1, G=24, B=55]
Color [A=255, R=1, G=24, B=56]
Color [A=255, R=1, G=24, B=66]
Color [A=255, R=1, G=25, B=53]
Color [A=255, R=1, G=26, B=92]
Color [A=255, R=1, G=27, B=60]
Color [A=255, R=1, G=27, B=88]
Color [A=255, R=1, G=27, B=104]
Color [A=255, R=1, G=28, B=57]
Color [A=255, R=1, G=30, B=62]
Color [A=255, R=1, G=30, B=64]
Color [A=255, R=1, G=30, B=96]
Color [A=255, R=1, G=30, B=108]
Color [A=255, R=1, G=31, B=65]
Color [A=255, R=1, G=31, B=95]
Color [A=255, R=1, G=34, B=77]
Color [A=255, R=1, G=36, B=66]
Color [A=255, R=1, G=37, B=121]
Color [A=255, R=1, G=38, B=126]
Color [A=255, R=1, G=41, B=126]
Color [A=255, R=1, G=43, B=83]
Color [A=255, R=2, G=0, B=8]
Color [A=255, R=2, G=0, B=10]
Color [A=255, R=2, G=0, B=11]
Color [A=255, R=2, G=0, B=13]
Color [A=255, R=2, G=0, B=14]
Color [A=255, R=2, G=0, B=33]
Color [A=255, R=2, G=1, B=6]
Color [A=255, R=2, G=1, B=7]
Color [A=255, R=2, G=1, B=9]
Color [A=255, R=2, G=1, B=15]
Color [A=255, R=2, G=1, B=17]
Color [A=255, R=2, G=2, B=4]
Color [A=255, R=2, G=2, B=10]
Color [A=255, R=2, G=2, B=12]
Color [A=255, R=2, G=2, B=14]
Color [A=255, R=2, G=3, B=7]
Color [A=255, R=2, G=3, B=8]
Color [A=255, R=2, G=3, B=21]
Color [A=255, R=2, G=3, B=23]
Color [A=255, R=2, G=3, B=24]
Color [A=255, R=2, G=4, B=16]
Color [A=255, R=2, G=4, B=17]
Color [A=255, R=2, G=4, B=19]
Color [A=255, R=2, G=4, B=25]
Color [A=255, R=2, G=4, B=27]
Color [A=255, R=2, G=5, B=10]
Color [A=255, R=2, G=5, B=12]
Color [A=255, R=2, G=5, B=14]
Color [A=255, R=2, G=5, B=20]
Color [A=255, R=2, G=5, B=22]
Color [A=255, R=2, G=5, B=24]
Color [A=255, R=2, G=6, B=7]
Color [A=255, R=2, G=6, B=9]
Color [A=255, R=2, G=6, B=15]
Color [A=255, R=2, G=6, B=17]
Color [A=255, R=2, G=7, B=26]
Color [A=255, R=2, G=7, B=27]
Color [A=255, R=2, G=7, B=29]
Color [A=255, R=2, G=7, B=37]
Color [A=255, R=2, G=8, B=20]
Color [A=255, R=2, G=8, B=22]
Color [A=255, R=2, G=8, B=24]
Color [A=255, R=2, G=8, B=30]
Color [A=255, R=2, G=8, B=34]
Color [A=255, R=2, G=8, B=40]
Color [A=255, R=2, G=8, B=42]
Color [A=255, R=2, G=9, B=15]
Color [A=255, R=2, G=9, B=17]
Color [A=255, R=2, G=9, B=25]
Color [A=255, R=2, G=9, B=27]
Color [A=255, R=2, G=9, B=28]
Color [A=255, R=2, G=9, B=35]
Color [A=255, R=2, G=9, B=38]
Color [A=255, R=2, G=10, B=23]
Color [A=255, R=2, G=11, B=18]
Color [A=255, R=2, G=11, B=20]
Color [A=255, R=2, G=11, B=26]
Color [A=255, R=2, G=11, B=42]
Color [A=255, R=2, G=11, B=52]
Color [A=255, R=2, G=11, B=66]
Color [A=255, R=2, G=12, B=24]
Color [A=255, R=2, G=14, B=26]
Color [A=255, R=2, G=14, B=30]
Color [A=255, R=2, G=14, B=54]
Color [A=255, R=2, G=14, B=64]
Color [A=255, R=2, G=15, B=49]
Color [A=255, R=2, G=16, B=42]
Color [A=255, R=2, G=16, B=45]
Color [A=255, R=2, G=16, B=51]
Color [A=255, R=2, G=16, B=63]
Color [A=255, R=2, G=17, B=36]
Color [A=255, R=2, G=17, B=46]
Color [A=255, R=2, G=18, B=33]
Color [A=255, R=2, G=18, B=44]
Color [A=255, R=2, G=18, B=70]
Color [A=255, R=2, G=20, B=40]
Color [A=255, R=2, G=20, B=56]
Color [A=255, R=2, G=20, B=66]
Color [A=255, R=2, G=21, B=51]
Color [A=255, R=2, G=21, B=53]
Color [A=255, R=2, G=21, B=54]
Color [A=255, R=2, G=22, B=33]
Color [A=255, R=2, G=22, B=47]
Color [A=255, R=2, G=22, B=49]
Color [A=255, R=2, G=22, B=59]
Color [A=255, R=2, G=22, B=73]
Color [A=255, R=2, G=23, B=40]
Color [A=255, R=2, G=23, B=52]
Color [A=255, R=2, G=23, B=54]
Color [A=255, R=2, G=23, B=90]
Color [A=255, R=2, G=24, B=63]
Color [A=255, R=2, G=24, B=65]
Color [A=255, R=2, G=25, B=56]
Color [A=255, R=2, G=25, B=59]
Color [A=255, R=2, G=27, B=58]
Color [A=255, R=2, G=27, B=67]
Color [A=255, R=2, G=29, B=59]
Color [A=255, R=2, G=29, B=96]
Color [A=255, R=2, G=30, B=67]
Color [A=255, R=2, G=30, B=93]
Color [A=255, R=2, G=31, B=61]
Color [A=255, R=2, G=31, B=75]
Color [A=255, R=2, G=31, B=91]
Color [A=255, R=2, G=32, B=102]
Color [A=255, R=2, G=33, B=53]
Color [A=255, R=2, G=33, B=115]
Color [A=255, R=2, G=34, B=57]
Color [A=255, R=2, G=34, B=73]
Color [A=255, R=2, G=34, B=81]
Color [A=255, R=2, G=34, B=111]
Color [A=255, R=2, G=35, B=68]
Color [A=255, R=2, G=35, B=116]
Color [A=255, R=2, G=36, B=71]
Color [A=255, R=2, G=37, B=101]
Color [A=255, R=2, G=38, B=116]
Color [A=255, R=2, G=39, B=127]
Color [A=255, R=2, G=40, B=115]
Color [A=255, R=2, G=42, B=111]
Color [A=255, R=2, G=46, B=75]
Color [A=255, R=2, G=48, B=81]
Color [A=255, R=3, G=0, B=2]
Color [A=255, R=3, G=0, B=7]
Color [A=255, R=3, G=0, B=9]
Color [A=255, R=3, G=0, B=11]
Color [A=255, R=3, G=0, B=12]
Color [A=255, R=3, G=0, B=13]
Color [A=255, R=3, G=0, B=17]
Color [A=255, R=3, G=0, B=18]
Color [A=255, R=3, G=0, B=21]
Color [A=255, R=3, G=0, B=27]
Color [A=255, R=3, G=1, B=12]
Color [A=255, R=3, G=1, B=14]
Color [A=255, R=3, G=1, B=15]
Color [A=255, R=3, G=1, B=23]
Color [A=255, R=3, G=2, B=8]
Color [A=255, R=3, G=2, B=10]
Color [A=255, R=3, G=2, B=16]
Color [A=255, R=3, G=2, B=18]
Color [A=255, R=3, G=2, B=20]
Color [A=255, R=3, G=3, B=5]
Color [A=255, R=3, G=3, B=11]
Color [A=255, R=3, G=3, B=13]
Color [A=255, R=3, G=3, B=15]
Color [A=255, R=3, G=3, B=27]
Color [A=255, R=3, G=3, B=41]
Color [A=255, R=3, G=4, B=9]
Color [A=255, R=3, G=4, B=22]
Color [A=255, R=3, G=4, B=24]
Color [A=255, R=3, G=4, B=25]
Color [A=255, R=3, G=4, B=32]
Color [A=255, R=3, G=5, B=17]
Color [A=255, R=3, G=5, B=18]
Color [A=255, R=3, G=5, B=20]
Color [A=255, R=3, G=5, B=26]
Color [A=255, R=3, G=6, B=11]
Color [A=255, R=3, G=6, B=13]
Color [A=255, R=3, G=6, B=15]
Color [A=255, R=3, G=6, B=21]
Color [A=255, R=3, G=6, B=23]
Color [A=255, R=3, G=6, B=25]
Color [A=255, R=3, G=7, B=8]
Color [A=255, R=3, G=7, B=16]
Color [A=255, R=3, G=7, B=18]
Color [A=255, R=3, G=7, B=34]
Color [A=255, R=3, G=7, B=42]
Color [A=255, R=3, G=7, B=44]
Color [A=255, R=3, G=8, B=14]
Color [A=255, R=3, G=8, B=27]
Color [A=255, R=3, G=8, B=28]
Color [A=255, R=3, G=8, B=30]
Color [A=255, R=3, G=8, B=37]
Color [A=255, R=3, G=8, B=40]
Color [A=255, R=3, G=9, B=5]
Color [A=255, R=3, G=9, B=23]
Color [A=255, R=3, G=9, B=25]
Color [A=255, R=3, G=9, B=33]
Color [A=255, R=3, G=9, B=35]
Color [A=255, R=3, G=10, B=16]
Color [A=255, R=3, G=10, B=18]
Color [A=255, R=3, G=10, B=20]
Color [A=255, R=3, G=10, B=28]
Color [A=255, R=3, G=10, B=38]
Color [A=255, R=3, G=11, B=22]
Color [A=255, R=3, G=11, B=30]
Color [A=255, R=3, G=11, B=32]
Color [A=255, R=3, G=11, B=34]
Color [A=255, R=3, G=11, B=60]
Color [A=255, R=3, G=12, B=21]
Color [A=255, R=3, G=12, B=43]
Color [A=255, R=3, G=12, B=45]
Color [A=255, R=3, G=13, B=40]
Color [A=255, R=3, G=14, B=36]
Color [A=255, R=3, G=14, B=46]
Color [A=255, R=3, G=14, B=60]
Color [A=255, R=3, G=15, B=31]
Color [A=255, R=3, G=16, B=0]
Color [A=255, R=3, G=16, B=32]
Color [A=255, R=3, G=16, B=50]
Color [A=255, R=3, G=16, B=51]
Color [A=255, R=3, G=16, B=61]
Color [A=255, R=3, G=17, B=52]
Color [A=255, R=3, G=17, B=64]
Color [A=255, R=3, G=18, B=41]
Color [A=255, R=3, G=18, B=49]
Color [A=255, R=3, G=19, B=32]
Color [A=255, R=3, G=19, B=45]
Color [A=255, R=3, G=19, B=52]
Color [A=255, R=3, G=19, B=53]
Color [A=255, R=3, G=19, B=55]
Color [A=255, R=3, G=20, B=46]
Color [A=255, R=3, G=20, B=50]
Color [A=255, R=3, G=21, B=23]
Color [A=255, R=3, G=21, B=57]
Color [A=255, R=3, G=22, B=65]
Color [A=255, R=3, G=23, B=56]
Color [A=255, R=3, G=23, B=58]
Color [A=255, R=3, G=24, B=69]
Color [A=255, R=3, G=25, B=46]
Color [A=255, R=3, G=25, B=48]
Color [A=255, R=3, G=25, B=49]
Color [A=255, R=3, G=25, B=64]
Color [A=255, R=3, G=26, B=44]
